scenario,request_type,mean,std,min,max,count
High,Deregistration,0.7050000000000001,0.05185449728701347,0.6683333333333333,0.7416666666666667,2
High,Registration,0.7033333333333334,0.05185449728701347,0.6666666666666666,0.74,2
High,Grant,0.7083333333333334,0.04714045207910316,0.675,0.7416666666666667,2
High,Relinquishment,0.69,0.021213203435596406,0.675,0.705,2
Stress,Registration,0.741,0.008013876853447599,0.7353333333333333,0.7466666666666667,2
Stress,Deregistration,0.741,0.008013876853447599,0.7353333333333333,0.7466666666666667,2
Stress,Grant,0.7543333333333333,0.007071067811865481,0.7493333333333333,0.7593333333333333,2
Stress,Relinquishment,0.7513333333333334,0.006599663291074463,0.7466666666666667,0.756,2
Medium,Deregistration,0.0,0.0,0.0,0.0,2
Medium,Authorize,0.0,0.0,0.0,0.0,2
Low,Revoke,0.0,0.0,0.0,0.0,2
Low,Relinquishment,0.4,0.0,0.4,0.4,2
Low,Registration,0.4,0.0,0.4,0.4,2
Low,Grant,0.7,0.0,0.7,0.7,2
Low,Deregistration,0.4,0.0,0.4,0.4,2
Low,Authorize,0.0,0.0,0.0,0.0,2
High,Authorize,0.0,0.0,0.0,0.0,2
Medium,Registration,0.0,0.0,0.0,0.0,2
Medium,Relinquishment,0.0,0.0,0.0,0.0,2
Medium,Revoke,0.0,0.0,0.0,0.0,2
Medium,Grant,0.0,0.0,0.0,0.0,2
High,Revoke,0.0,0.0,0.0,0.0,2
Stress,Authorize,0.0,0.0,0.0,0.0,2
Stress,Revoke,0.0,0.0,0.0,0.0,2
