timeStamp,label,responseCode,responseMessage,failureMessage,scenario,request_type,run
2025-07-02 13:55:49.395,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:55:49.609,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:55:49.792,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:55:49.970,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:55:50.142,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:55:50.319,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:55:50.486,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:55:50.648,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:55:51.049,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:55:51.584,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:55:51.677,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:55:51.907,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:55:52.091,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:55:52.201,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:55:52.343,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:55:52.411,Registration,400,Bad Request,,sas_full_flow_high,Registration,1
2025-07-02 13:55:52.451,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:55:52.581,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:55:52.670,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:55:52.835,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:55:52.906,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
2025-07-02 13:55:53.029,Grant,400,Bad Request,,sas_full_flow_high,Grant,1
2025-07-02 13:55:53.148,Relinquishment,400,Bad Request,,sas_full_flow_high,Relinquishment,1
2025-07-02 13:55:53.261,Deregistration,400,Bad Request,,sas_full_flow_high,Deregistration,1
