scenario,request_type,mean,std,min,max,count
High,Deregistration,562.7133333333334,86.21752983007566,501.74833333333333,623.6783333333333,2
High,Grant,557.4208333333333,85.42674874644882,497.015,617.8266666666667,2
High,Relinquishment,551.7966666666666,79.88892413845613,495.3066666666667,608.2866666666666,2
High,Authorize,556.86,79.3255957361109,500.7683333333333,612.9516666666667,2
High,Registration,560.0600000000001,76.04697729400922,506.2866666666667,613.8333333333334,2
High,Revoke,556.4925,70.0872456399086,506.93333333333334,606.0516666666666,2
Low,Revoke,70.1,19.657568516986025,56.2,84.0,2
Low,Authorize,70.45,13.22289680818844,61.1,79.8,2
Stress,Deregistration,933.716,10.906414993021293,926.004,941.428,2
Low,Grant,73.1,8.90954544295051,66.8,79.4,2
Stress,Grant,933.8146666666667,7.203061077687004,928.7213333333333,938.908,2
Low,Registration,74.15,6.858935777509508,69.3,79.0,2
Stress,Revoke,922.2766666666666,6.412987100841215,917.742,926.8113333333333,2
Stress,Registration,932.3736666666666,4.927591455828642,928.8893333333333,935.858,2
Medium,Authorize,30.53,2.4748737341529163,28.78,32.28,2
Low,Relinquishment,77.65,1.6263455967290623,76.5,78.8,2
Medium,Revoke,28.485,1.1950104602052638,27.64,29.33,2
Stress,Relinquishment,942.5406666666667,1.078573543569832,941.778,943.3033333333333,2
Medium,Deregistration,34.6,1.0748023074035495,33.84,35.36,2
Stress,Authorize,931.2516666666667,0.770746391493279,930.7066666666667,931.7966666666666,2
Low,Deregistration,68.35,0.4949747468305903,68.0,68.7,2
Medium,Relinquishment,27.65,0.4384062043356589,27.34,27.96,2
Medium,Grant,29.64,0.4101219330881964,29.35,29.93,2
Medium,Registration,33.5,0.26870057685088483,33.31,33.69,2
