scenario,request_type,run,count,mean,p50,p90,p99,std
sas_full_flow_high,Authorize,1,600,500.7683333333333,524.5,751.0,985.2299999999998,221.7054958167429
sas_full_flow_high,Authorize,2,600,612.9516666666667,631.0,961.0,1265.01,272.66560757298333
sas_full_flow_high,Deregistration,1,600,501.74833333333333,526.0,751.0,985.1399999999999,220.93961207577914
sas_full_flow_high,Deregistration,2,600,623.6783333333333,672.5,962.0,1244.12,269.0352730792443
sas_full_flow_high,Grant,1,600,497.015,537.5,747.1,971.0,212.6230366191977
sas_full_flow_high,Grant,2,600,617.8266666666667,632.5,1002.1,1257.08,290.53566317209146
sas_full_flow_high,Registration,1,600,506.2866666666667,538.0,757.9000000000002,1000.02,221.73967159446298
sas_full_flow_high,Registration,2,600,613.8333333333334,630.0,967.2,1199.01,268.06682361946866
sas_full_flow_high,Relinquishment,1,600,495.3066666666667,518.5,748.0,961.2099999999998,213.48656509958406
sas_full_flow_high,Relinquishment,2,600,608.2866666666666,629.5,970.0,1255.01,277.36856350758177
sas_full_flow_high,Revoke,1,600,506.93333333333334,527.0,794.3000000000003,1014.02,231.2928508629757
sas_full_flow_high,Revoke,2,600,606.0516666666666,632.0,936.0,1198.0,271.30871043484484
sas_full_flow_low,Authorize,1,10,79.8,63.0,140.0,148.1,38.55674029559841
sas_full_flow_low,Authorize,2,10,61.1,59.0,96.5,108.65,26.676873046808833
sas_full_flow_low,Deregistration,1,10,68.0,52.0,113.8,120.28,35.808130671988756
sas_full_flow_low,Deregistration,2,10,68.7,64.0,107.0,123.2,35.05567001213927
sas_full_flow_low,Grant,1,10,66.8,62.5,105.4,108.64,24.357522223922714
sas_full_flow_low,Grant,2,10,79.4,78.0,111.4,114.64,29.117386940146645
sas_full_flow_low,Registration,1,10,69.3,57.0,102.6,115.56,31.48562282128852
sas_full_flow_low,Registration,2,10,79.0,77.0,92.19999999999999,110.02000000000001,14.988884770611408
sas_full_flow_low,Relinquishment,1,10,78.8,86.5,108.2,109.82,25.589928574430303
sas_full_flow_low,Relinquishment,2,10,76.5,78.5,99.3,117.93,24.74424736737365
sas_full_flow_low,Revoke,1,10,56.2,47.5,77.49999999999999,113.95,25.459335768589444
sas_full_flow_low,Revoke,2,10,84.0,95.0,112.8,119.28,32.67346867958093
sas_full_flow_medium,Authorize,1,100,32.28,25.5,52.20000000000002,86.01,15.183111297980682
sas_full_flow_medium,Authorize,2,100,28.78,25.0,41.0,64.11000000000006,9.745840863743574
sas_full_flow_medium,Deregistration,1,100,35.36,32.0,40.20000000000002,76.24000000000012,10.330419921647705
sas_full_flow_medium,Deregistration,2,100,33.84,31.0,44.10000000000001,65.29000000000015,9.08180554290786
sas_full_flow_medium,Grant,1,100,29.93,28.0,36.10000000000001,47.06000000000003,4.963004547793013
sas_full_flow_medium,Grant,2,100,29.35,27.0,31.10000000000001,66.01,7.573711845001176
sas_full_flow_medium,Registration,1,100,33.69,31.0,47.0,68.11000000000006,8.553686664564909
sas_full_flow_medium,Registration,2,100,33.31,29.5,40.10000000000001,96.04000000000002,13.692654522728157
sas_full_flow_medium,Relinquishment,1,100,27.96,26.0,34.0,46.090000000000046,5.2221749406843045
sas_full_flow_medium,Relinquishment,2,100,27.34,25.0,32.10000000000001,46.2000000000001,5.829600537278898
sas_full_flow_medium,Revoke,1,100,29.33,27.0,36.20000000000002,50.33000000000017,7.685819291514615
sas_full_flow_medium,Revoke,2,100,27.64,26.0,29.10000000000001,72.09000000000005,8.475180639295358
sas_full_flow_stress,Authorize,1,1500,931.7966666666666,960.0,1500.1000000000001,2064.1,460.7783716648223
sas_full_flow_stress,Authorize,2,1500,930.7066666666667,921.0,1523.0,2010.3799999999997,452.18115302644344
sas_full_flow_stress,Deregistration,1,1500,926.004,958.0,1495.0,2075.4199999999996,459.0823212697999
sas_full_flow_stress,Deregistration,2,1500,941.428,934.0,1522.1000000000001,1909.1799999999998,441.7997104330869
sas_full_flow_stress,Grant,1,1500,928.7213333333333,970.0,1494.0,2034.2699999999998,459.227253247205
sas_full_flow_stress,Grant,2,1500,938.908,935.0,1522.1000000000001,2083.0699999999997,455.2545280677807
sas_full_flow_stress,Registration,1,1500,928.8893333333333,960.5,1513.4000000000005,2028.06,463.4594813790541
sas_full_flow_stress,Registration,2,1500,935.858,934.0,1498.3000000000004,1924.04,451.1280374499558
sas_full_flow_stress,Relinquishment,1,1500,943.3033333333333,962.0,1510.1000000000001,2119.0,470.11341724340303
sas_full_flow_stress,Relinquishment,2,1500,941.778,924.0,1522.1000000000001,2025.05,458.8603054335839
sas_full_flow_stress,Revoke,1,1500,926.8113333333333,960.0,1510.1000000000001,2030.2999999999997,455.85723746825676
sas_full_flow_stress,Revoke,2,1500,917.742,910.0,1495.1000000000001,1929.01,439.1421478139601
