scenario,request_type,run,p95,p99,p999,max,count
Low,Authorize,1,144.5,148.1,148.91000000000003,149.0,10
Low,Authorize,2,103.24999999999999,108.65,109.86500000000002,110.0,10
Low,Deregistration,1,117.39999999999999,120.28,120.92800000000001,121.0,10
Low,Deregistration,2,115.99999999999997,123.2,124.82000000000002,125.0,10
Low,Grant,1,107.19999999999999,108.64,108.964,109.0,10
Low,Grant,2,113.19999999999999,114.64,114.964,115.0,10
Low,Registration,1,109.79999999999998,115.56,116.85600000000002,117.0,10
Low,Registration,2,102.09999999999998,110.02000000000001,111.80200000000004,112.0,10
Low,Relinquishment,1,109.1,109.82,109.982,110.0,10
Low,Relinquishment,2,109.64999999999998,117.93,119.79300000000003,120.0,10
Low,Revoke,1,97.74999999999994,113.95,117.59500000000007,118.0,10
Low,Revoke,2,116.39999999999999,119.28,119.92800000000001,120.0,10
Medium,Authorize,1,71.29999999999998,86.01,86.90100000000001,87.0,100
Medium,Authorize,2,53.099999999999994,64.11000000000006,73.91100000000012,75.0,100
Medium,Deregistration,1,57.14999999999999,76.24000000000012,97.62400000000025,100.0,100
Medium,Deregistration,2,49.249999999999986,65.29000000000015,91.1290000000003,94.0,100
Medium,Grant,1,41.05,47.06000000000003,52.40600000000006,53.0,100
Medium,Grant,2,46.099999999999994,66.01,66.90100000000001,67.0,100
Medium,Registration,1,51.0,68.11000000000006,77.91100000000012,79.0,100
Medium,Registration,2,47.449999999999974,96.04000000000002,99.60400000000004,100.0,100
Medium,Relinquishment,1,38.19999999999999,46.090000000000046,54.109000000000094,55.0,100
Medium,Relinquishment,2,39.05,46.2000000000001,64.02000000000021,66.0,100
Medium,Revoke,1,43.0,50.33000000000017,79.73300000000035,83.0,100
Medium,Revoke,2,35.29999999999998,72.09000000000005,80.1090000000001,81.0,100
High,Authorize,1,859.2499999999998,985.2299999999998,1290.2150000000145,1419.0,600
High,Authorize,2,1045.1,1265.01,1483.6560000000172,1637.0,600
High,Deregistration,1,870.05,985.1399999999999,1222.726000000022,1418.0,600
High,Deregistration,2,1027.1499999999999,1244.12,1265.8020000000001,1267.0,600
High,Grant,1,822.1999999999998,971.0,1175.4050000000273,1418.0,600
High,Grant,2,1064.1999999999998,1257.08,1538.9520000000102,1630.0,600
High,Registration,1,892.05,1000.02,1023.4010000000001,1024.0,600
High,Registration,2,1059.0,1199.01,1261.6090000000006,1267.0,600
High,Relinquishment,1,851.2999999999997,961.2099999999998,1019.2080000000005,1024.0,600
High,Relinquishment,2,1067.1,1255.01,1370.8670000000045,1411.0,600
High,Revoke,1,891.0,1014.02,1420.401,1421.0,600
High,Revoke,2,1030.05,1198.0,1266.0,1266.0,600
Stress,Authorize,1,1639.05,2064.1,2682.108000000022,3283.0,1500
Stress,Authorize,2,1654.05,2010.3799999999997,2466.7530000000515,2615.0,1500
Stress,Deregistration,1,1629.05,2075.4199999999996,2584.539000000008,2881.0,1500
Stress,Deregistration,2,1642.05,1909.1799999999998,2324.0520000000106,2368.0,1500
Stress,Grant,1,1717.1,2034.2699999999998,2281.024000000005,2843.0,1500
Stress,Grant,2,1653.1499999999999,2083.0699999999997,2610.2080000000424,2799.0,1500
Stress,Registration,1,1685.05,2028.06,2606.0960000000196,2666.0,1500
Stress,Registration,2,1654.0,1924.04,2696.7470000000503,3102.0,1500
Stress,Relinquishment,1,1730.1,2119.0,2584.6250000000255,2699.0,1500
Stress,Relinquishment,2,1665.0,2025.05,2760.260000000053,3481.0,1500
Stress,Revoke,1,1675.2999999999997,2030.2999999999997,2558.691000000039,2746.0,1500
Stress,Revoke,2,1651.1,1929.01,2319.1440000000293,2426.0,1500
