scenario,request_type,run,p95,p99,p999,max,count
Low,Authorize,1,1.0,1.0,1.0,1.0,10
Low,Authorize,2,1.0,1.0,1.0,1.0,10
Low,Deregistration,1,1.0,1.0,1.0,1.0,10
Low,Deregistration,2,1.0,1.0,1.0,1.0,10
Low,Grant,1,1.0,1.0,1.0,1.0,10
Low,Grant,2,1.0,1.0,1.0,1.0,10
Low,Registration,1,1.0,1.0,1.0,1.0,10
Low,Registration,2,1.0,1.0,1.0,1.0,10
Low,Relinquishment,1,1.0,1.0,1.0,1.0,10
Low,Relinquishment,2,1.0,1.0,1.0,1.0,10
Low,Revoke,1,1.0,1.0,1.0,1.0,10
Low,Revoke,2,1.0,1.0,1.0,1.0,10
Medium,Authorize,1,6.0,6.0,6.0,6.0,28
Medium,Authorize,2,6.0,6.0,6.0,6.0,28
Medium,Deregistration,1,6.0,6.0,6.0,6.0,30
Medium,Deregistration,2,6.0,6.0,6.0,6.0,30
Medium,Grant,1,6.0,6.0,6.0,6.0,29
Medium,Grant,2,6.0,6.719999999999999,6.972000000000001,7.0,29
Medium,Registration,1,6.0,6.73,6.9730000000000025,7.0,28
Medium,Registration,2,6.0,6.0,6.0,6.0,29
Medium,Relinquishment,1,6.0,6.0,6.0,6.0,30
Medium,Relinquishment,2,6.0,6.0,6.0,6.0,30
Medium,Revoke,1,6.0,6.0,6.0,6.0,30
Medium,Revoke,2,6.0,6.0,6.0,6.0,30
High,Authorize,1,8.349999999999994,9.0,9.887000000000015,10.0,114
High,Authorize,2,9.0,12.219999999999985,13.0,13.0,127
High,Deregistration,1,10.0,11.0,11.0,11.0,117
High,Deregistration,2,9.649999999999991,11.730000000000004,12.0,12.0,128
High,Grant,1,9.0,9.849999999999994,10.88500000000002,11.0,116
High,Grant,2,8.699999999999989,10.0,10.87400000000001,11.0,127
High,Registration,1,9.299999999999997,10.0,10.0,10.0,115
High,Registration,2,9.0,10.75,11.875000000000014,12.0,126
High,Relinquishment,1,9.0,9.840000000000003,11.768000000000029,12.0,117
High,Relinquishment,2,9.0,12.0,12.876000000000019,13.0,125
High,Revoke,1,9.0,10.840000000000003,11.0,11.0,117
High,Revoke,2,8.0,9.0,10.752000000000038,11.0,125
Stress,Authorize,1,11.0,14.52000000000001,15.0,15.0,249
Stress,Authorize,2,11.0,12.490000000000009,13.749000000000024,14.0,252
Stress,Deregistration,1,11.0,13.509999999999991,15.0,15.0,250
Stress,Deregistration,2,10.549999999999983,12.0,12.0,12.0,250
Stress,Grant,1,11.0,13.0,15.0,15.0,250
Stress,Grant,2,11.0,13.0,15.0,15.0,250
Stress,Registration,1,11.649999999999977,14.530000000000001,15.0,15.0,248
Stress,Registration,2,11.0,12.0,13.754000000000019,14.0,247
Stress,Relinquishment,1,11.0,14.550000000000011,19.26500000000007,20.0,246
Stress,Relinquishment,2,11.0,12.509999999999991,15.502000000000066,16.0,250
Stress,Revoke,1,10.0,14.5,17.0,17.0,251
Stress,Revoke,2,10.0,13.0,13.753000000000014,14.0,248
