scenario,request_type,mean,std,min,max,count
High,Authorize,4.993783671777869,0.3809526794622927,4.724409448818897,5.2631578947368425,2
High,Registration,4.989648033126294,0.32207762290070463,4.761904761904762,5.217391304347826,2
High,Grant,4.948411620961172,0.31678690984463853,4.724409448818897,5.172413793103448,2
High,Deregistration,4.907852564102564,0.311625584657533,4.6875,5.128205128205129,2
High,Relinquishment,4.964102564102564,0.2320760717740468,4.8,5.128205128205129,2
High,Revoke,4.964102564102564,0.2320760717740468,4.8,5.128205128205129,2
Medium,Registration,3.5098522167487687,0.08708211590967378,3.4482758620689653,3.5714285714285716,2
Stress,Relinquishment,6.048780487804878,0.06898602743283397,6.0,6.097560975609756,2
Stress,Revoke,6.012241357152037,0.05111779519566059,5.9760956175298805,6.048387096774194,2
Stress,Authorize,5.988238668961561,0.05071046910402673,5.9523809523809526,6.024096385542169,2
Stress,Registration,6.06063079535066,0.017315204580446077,6.048387096774194,6.0728744939271255,2
Low,Relinquishment,1.0,0.0,1.0,1.0,2
Low,Registration,1.0,0.0,1.0,1.0,2
Low,Grant,1.0,0.0,1.0,1.0,2
Low,Deregistration,1.0,0.0,1.0,1.0,2
Low,Authorize,1.0,0.0,1.0,1.0,2
Medium,Deregistration,3.3333333333333335,0.0,3.3333333333333335,3.3333333333333335,2
Medium,Authorize,3.5714285714285716,0.0,3.5714285714285716,3.5714285714285716,2
Low,Revoke,1.0,0.0,1.0,1.0,2
Medium,Revoke,3.3333333333333335,0.0,3.3333333333333335,3.3333333333333335,2
Medium,Relinquishment,3.3333333333333335,0.0,3.3333333333333335,3.3333333333333335,2
Medium,Grant,3.4482758620689653,0.0,3.4482758620689653,3.4482758620689653,2
Stress,Deregistration,6.0,0.0,6.0,6.0,2
Stress,Grant,6.0,0.0,6.0,6.0,2
