scenario,request_type,run,mean,median,std,min,max,p90,p95,p99
Low,Authorize,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Authorize,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Deregistration,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Deregistration,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Grant,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Grant,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Registration,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Registration,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Relinquishment,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Relinquishment,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Revoke,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Revoke,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Medium,Authorize,1,3.5714285714285716,3.0,1.7935805576921315,1.0,6.0,6.0,6.0,6.0
Medium,Authorize,2,3.5714285714285716,3.5,1.9134721480532872,1.0,6.0,6.0,6.0,6.0
Medium,Deregistration,1,3.3333333333333335,3.0,1.604591114171508,1.0,6.0,6.0,6.0,6.0
Medium,Deregistration,2,3.3333333333333335,3.0,1.7681732894739688,1.0,6.0,6.0,6.0,6.0
Medium,Grant,1,3.4482758620689653,3.0,1.7644547295441835,1.0,6.0,6.0,6.0,6.0
Medium,Grant,2,3.4482758620689653,3.0,1.9380809156142011,1.0,7.0,6.0,6.0,6.719999999999999
Medium,Registration,1,3.5714285714285716,3.0,1.8544954675472893,1.0,7.0,6.0,6.0,6.73
Medium,Registration,2,3.4482758620689653,3.0,1.824167263958147,1.0,6.0,6.0,6.0,6.0
Medium,Relinquishment,1,3.3333333333333335,3.0,1.5610194134588469,1.0,6.0,5.100000000000001,6.0,6.0
Medium,Relinquishment,2,3.3333333333333335,3.0,1.8631329442141513,1.0,6.0,6.0,6.0,6.0
Medium,Revoke,1,3.3333333333333335,3.0,1.5610194134588469,1.0,6.0,6.0,6.0,6.0
Medium,Revoke,2,3.3333333333333335,3.0,1.806756158448603,1.0,6.0,6.0,6.0,6.0
High,Authorize,1,5.2631578947368425,5.0,1.7801890700965173,2.0,10.0,8.0,8.349999999999994,9.0
High,Authorize,2,4.724409448818897,4.0,2.3525641713303957,1.0,13.0,8.0,9.0,12.219999999999985
High,Deregistration,1,5.128205128205129,5.0,2.2188007849009166,1.0,11.0,8.0,10.0,11.0
High,Deregistration,2,4.6875,4.0,2.6878261567331503,1.0,12.0,9.0,9.649999999999991,11.730000000000004
High,Grant,1,5.172413793103448,5.0,1.9881206422538655,1.0,11.0,8.0,9.0,9.849999999999994
High,Grant,2,4.724409448818897,4.0,2.238470159822987,1.0,11.0,8.0,8.699999999999989,10.0
High,Registration,1,5.217391304347826,5.0,2.1058923544891015,1.0,10.0,8.600000000000009,9.299999999999997,10.0
High,Registration,2,4.761904761904762,4.0,2.398094481636856,1.0,12.0,9.0,9.0,10.75
High,Relinquishment,1,5.128205128205129,5.0,2.065890730238127,1.0,12.0,8.0,9.0,9.840000000000003
High,Relinquishment,2,4.8,4.0,2.5080515506355052,1.0,13.0,8.0,9.0,12.0
High,Revoke,1,5.128205128205129,5.0,2.1153725584416465,1.0,11.0,8.0,9.0,10.840000000000003
High,Revoke,2,4.8,5.0,2.090685950097595,1.0,11.0,8.0,8.0,9.0
Stress,Authorize,1,6.024096385542169,6.0,2.9112237074026677,1.0,15.0,10.0,11.0,14.52000000000001
Stress,Authorize,2,5.9523809523809526,5.0,2.7911560467671217,1.0,14.0,10.0,11.0,12.490000000000009
Stress,Deregistration,1,6.0,6.0,2.718374189277798,1.0,15.0,9.099999999999994,11.0,13.509999999999991
Stress,Deregistration,2,6.0,6.0,2.6525731994260315,1.0,12.0,10.0,10.549999999999983,12.0
Stress,Grant,1,6.0,6.0,2.760885720170134,1.0,15.0,10.0,11.0,13.0
Stress,Grant,2,6.0,6.0,2.710977238997304,1.0,15.0,10.0,11.0,13.0
Stress,Registration,1,6.048387096774194,6.0,2.912641270288445,1.0,15.0,10.0,11.649999999999977,14.530000000000001
Stress,Registration,2,6.0728744939271255,6.0,2.7869383637844933,1.0,14.0,10.0,11.0,12.0
Stress,Relinquishment,1,6.097560975609756,6.0,2.9022570643716885,1.0,20.0,10.0,11.0,14.550000000000011
Stress,Relinquishment,2,6.0,6.0,2.8524631785071226,1.0,16.0,10.0,11.0,12.509999999999991
Stress,Revoke,1,5.9760956175298805,6.0,2.7348539805299876,1.0,17.0,9.0,10.0,14.5
Stress,Revoke,2,6.048387096774194,6.0,2.633803421847205,1.0,14.0,10.0,10.0,13.0
