scenario,request_type,mean,std,min,max,count
Medium,Registration,0.052000000000000005,0.047116875957558986,0.01,0.13,5
Medium,Grant,0.086,0.023021728866442676,0.06,0.11,5
Medium,Revoke,0.06,0.021213203435596427,0.04,0.09,5
Medium,Authorize,0.044000000000000004,0.01949358868961793,0.02,0.07,5
Medium,Deregistration,0.044,0.01673320053068151,0.02,0.06,5
Medium,Relinquishment,0.052000000000000005,0.013038404810405295,0.03,0.06,5
High,Grant,0.005,0.001666666666666667,0.0033333333333333335,0.006666666666666667,5
High,Revoke,0.0010000000000000002,0.00149071198499986,0.0,0.0033333333333333335,5
High,Relinquishment,0.0013333333333333335,0.0013944333775567925,0.0,0.0033333333333333335,5
High,Authorize,0.0003333333333333334,0.00074535599249993,0.0,0.0016666666666666668,5
High,Deregistration,0.002,0.00074535599249993,0.0016666666666666668,0.0033333333333333335,5
Stress,Grant,0.0010666666666666667,0.0005962847939999439,0.0006666666666666666,0.002,5
Stress,Revoke,0.0004,0.00036514837167011074,0.0,0.0006666666666666666,5
Stress,Authorize,0.0002666666666666667,0.00036514837167011074,0.0,0.0006666666666666666,5
Stress,Deregistration,0.0002666666666666667,0.00036514837167011074,0.0,0.0006666666666666666,5
Stress,Relinquishment,0.0009333333333333332,0.0003651483716701107,0.0006666666666666666,0.0013333333333333333,5
Low,Relinquishment,0.0,0.0,0.0,0.0,5
Low,Revoke,0.0,0.0,0.0,0.0,5
Low,Grant,0.0,0.0,0.0,0.0,5
Low,Registration,0.0,0.0,0.0,0.0,5
Low,Deregistration,0.0,0.0,0.0,0.0,5
Low,Authorize,0.0,0.0,0.0,0.0,5
High,Registration,0.0,0.0,0.0,0.0,5
Stress,Registration,0.0,0.0,0.0,0.0,5
