scenario,request_type,run,error_rate_mean,error_rate_std,error_rate_min,error_rate_max
Low,Authorize,1,0.0,0.0,False,False
Low,Authorize,2,0.0,0.0,False,False
Low,Authorize,3,0.0,0.0,False,False
Low,Authorize,4,0.0,0.0,False,False
Low,Authorize,5,0.0,0.0,False,False
Low,Deregistration,1,0.0,0.0,False,False
Low,Deregistration,2,0.0,0.0,False,False
Low,Deregistration,3,0.0,0.0,False,False
Low,Deregistration,4,0.0,0.0,False,False
Low,Deregistration,5,0.0,0.0,False,False
Low,Grant,1,0.0,0.0,False,False
Low,Grant,2,0.0,0.0,False,False
Low,Grant,3,0.0,0.0,False,False
Low,Grant,4,0.0,0.0,False,False
Low,Grant,5,0.0,0.0,False,False
Low,Registration,1,0.0,0.0,False,False
Low,Registration,2,0.0,0.0,False,False
Low,Registration,3,0.0,0.0,False,False
Low,Registration,4,0.0,0.0,False,False
Low,Registration,5,0.0,0.0,False,False
Low,Relinquishment,1,0.0,0.0,False,False
Low,Relinquishment,2,0.0,0.0,False,False
Low,Relinquishment,3,0.0,0.0,False,False
Low,Relinquishment,4,0.0,0.0,False,False
Low,Relinquishment,5,0.0,0.0,False,False
Low,Revoke,1,0.0,0.0,False,False
Low,Revoke,2,0.0,0.0,False,False
Low,Revoke,3,0.0,0.0,False,False
Low,Revoke,4,0.0,0.0,False,False
Low,Revoke,5,0.0,0.0,False,False
Medium,Authorize,1,0.05,0.21904291355759034,False,True
Medium,Authorize,2,0.07,0.2564323999762428,False,True
Medium,Authorize,3,0.03,0.17144660799776532,False,True
Medium,Authorize,4,0.02,0.1407052941362897,False,True
Medium,Authorize,5,0.05,0.21904291355759034,False,True
Medium,Deregistration,1,0.04,0.19694638556693236,False,True
Medium,Deregistration,2,0.02,0.14070529413628968,False,True
Medium,Deregistration,3,0.04,0.1969463855669324,False,True
Medium,Deregistration,4,0.06,0.238683256575942,False,True
Medium,Deregistration,5,0.06,0.23868325657594203,False,True
Medium,Grant,1,0.06,0.23868325657594205,False,True
Medium,Grant,2,0.11,0.31446603773522025,False,True
Medium,Grant,3,0.08,0.2726599243442907,False,True
Medium,Grant,4,0.07,0.2564323999762428,False,True
Medium,Grant,5,0.11,0.3144660377352202,False,True
Medium,Registration,1,0.03,0.1714466079977653,False,True
Medium,Registration,2,0.01,0.1,False,True
Medium,Registration,3,0.13,0.33799766898963113,False,True
Medium,Registration,4,0.06,0.23868325657594203,False,True
Medium,Registration,5,0.03,0.1714466079977653,False,True
Medium,Relinquishment,1,0.06,0.23868325657594205,False,True
Medium,Relinquishment,2,0.06,0.23868325657594205,False,True
Medium,Relinquishment,3,0.06,0.23868325657594203,False,True
Medium,Relinquishment,4,0.05,0.2190429135575903,False,True
Medium,Relinquishment,5,0.03,0.17144660799776532,False,True
Medium,Revoke,1,0.07,0.2564323999762428,False,True
Medium,Revoke,2,0.04,0.19694638556693242,False,True
Medium,Revoke,3,0.04,0.19694638556693234,False,True
Medium,Revoke,4,0.09,0.2876234912646614,False,True
Medium,Revoke,5,0.06,0.23868325657594203,False,True
High,Authorize,1,0.0,0.0,False,False
High,Authorize,2,0.0,0.0,False,False
High,Authorize,3,0.0,0.0,False,False
High,Authorize,4,0.0,0.0,False,False
High,Authorize,5,0.0016666666666666668,0.040824829046386304,False,True
High,Deregistration,1,0.0016666666666666668,0.040824829046386304,False,True
High,Deregistration,2,0.0016666666666666668,0.040824829046386304,False,True
High,Deregistration,3,0.0016666666666666668,0.040824829046386304,False,True
High,Deregistration,4,0.0016666666666666668,0.040824829046386304,False,True
High,Deregistration,5,0.0033333333333333335,0.0576868139444419,False,True
High,Grant,1,0.0033333333333333335,0.05768681394444188,False,True
High,Grant,2,0.0033333333333333335,0.05768681394444188,False,True
High,Grant,3,0.006666666666666667,0.08144493652174216,False,True
High,Grant,4,0.006666666666666667,0.08144493652174213,False,True
High,Grant,5,0.005,0.0705925315396889,False,True
High,Registration,1,0.0,0.0,False,False
High,Registration,2,0.0,0.0,False,False
High,Registration,3,0.0,0.0,False,False
High,Registration,4,0.0,0.0,False,False
High,Registration,5,0.0,0.0,False,False
High,Relinquishment,1,0.0016666666666666668,0.040824829046386304,False,True
High,Relinquishment,2,0.0033333333333333335,0.05768681394444188,False,True
High,Relinquishment,3,0.0,0.0,False,False
High,Relinquishment,4,0.0,0.0,False,False
High,Relinquishment,5,0.0016666666666666668,0.040824829046386304,False,True
High,Revoke,1,0.0016666666666666668,0.040824829046386304,False,True
High,Revoke,2,0.0,0.0,False,False
High,Revoke,3,0.0033333333333333335,0.05768681394444188,False,True
High,Revoke,4,0.0,0.0,False,False
High,Revoke,5,0.0,0.0,False,False
Stress,Authorize,1,0.0,0.0,False,False
Stress,Authorize,2,0.0,0.0,False,False
Stress,Authorize,3,0.0,0.0,False,False
Stress,Authorize,4,0.0006666666666666666,0.02581988897471612,False,True
Stress,Authorize,5,0.0006666666666666666,0.02581988897471612,False,True
Stress,Deregistration,1,0.0,0.0,False,False
Stress,Deregistration,2,0.0,0.0,False,False
Stress,Deregistration,3,0.0006666666666666666,0.02581988897471612,False,True
Stress,Deregistration,4,0.0,0.0,False,False
Stress,Deregistration,5,0.0006666666666666666,0.02581988897471612,False,True
Stress,Grant,1,0.002,0.0446915154628883,False,True
Stress,Grant,2,0.0006666666666666666,0.02581988897471612,False,True
Stress,Grant,3,0.0013333333333333333,0.03650265540281316,False,True
Stress,Grant,4,0.0006666666666666666,0.02581988897471612,False,True
Stress,Grant,5,0.0006666666666666666,0.02581988897471612,False,True
Stress,Registration,1,0.0,0.0,False,False
Stress,Registration,2,0.0,0.0,False,False
Stress,Registration,3,0.0,0.0,False,False
Stress,Registration,4,0.0,0.0,False,False
Stress,Registration,5,0.0,0.0,False,False
Stress,Relinquishment,1,0.0006666666666666666,0.02581988897471612,False,True
Stress,Relinquishment,2,0.0013333333333333333,0.03650265540281316,False,True
