scenario,request_type,mean,std,min,max,count
Medium,Relinquishment,19013.278,1897.9877435510468,17458.11,22102.84,5
Medium,Authorize,18932.748,1838.7130823676669,16864.2,21803.77,5
Medium,Registration,17401.956,1800.8044247863224,15678.2,19619.85,5
Medium,Grant,17063.936,1516.1455037462588,15112.35,18696.33,5
Medium,Deregistration,17073.554,1376.78354274737,15061.93,18844.46,5
Medium,Revoke,17932.768,1044.7027472300433,16294.9,18935.89,5
High,Deregistration,58063.96,549.2883983530637,57524.07666666667,58884.306666666664,5
High,Relinquishment,58227.380666666664,530.0229981469904,57598.94666666666,58799.50666666667,5
High,Authorize,58402.76700000001,490.20657022547664,57838.85,58930.3,5
High,Grant,57985.971666666665,464.51756685774905,57446.65,58491.683333333334,5
High,Revoke,57781.94633333334,317.81866577849416,57218.823333333334,57979.83666666667,5
High,Registration,57544.583,274.1589704831658,57186.63166666667,57899.09166666667,5
Stress,Authorize,98607.45173333334,34.66262534970381,98559.00133333333,98641.674,5
Stress,Registration,99148.834,28.898194161187202,99111.85733333333,99175.99066666666,5
Stress,Revoke,99172.24946666668,27.518454928365795,99133.94733333333,99209.18066666667,5
Stress,Deregistration,99221.57093333334,24.109839451051446,99195.372,99243.434,5
Stress,Grant,99182.40920000001,15.965619056794536,99166.49933333334,99200.98333333334,5
Low,Authorize,3250.34,15.512833396900785,3233.7,3265.1,5
Stress,Relinquishment,99224.86613333333,10.810428744708528,99206.13733333333,99231.81666666667,5
Low,Grant,3302.12,8.7193463057731,3292.6,3314.4,5
Low,Deregistration,3302.4799999999996,7.132110487085844,3296.2,3314.1,5
Low,Registration,3297.7,6.737581168342055,3293.8,3309.7,5
Low,Revoke,3291.3199999999997,5.0454930383459615,3282.8,3295.2,5
Low,Relinquishment,3496.54,1.3501851724855238,3494.8,3498.0,5
