scenario,request_type,run,mean,median,std,min,max,p90,p95,p99
Low,Authorize,1,3233.7,3487.0,604.3637701473068,1638.0,3499.0,3498.1,3498.55,3498.91
Low,Authorize,2,3264.3,3491.5,570.5116709294094,1741.0,3590.0,3502.7,3546.35,3581.27
Low,Authorize,3,3234.3,3489.5,606.9299886404618,1636.0,3503.0,3502.1,3502.55,3502.91
Low,Authorize,4,3254.3,3488.0,614.318240002688,1645.0,3596.0,3595.1,3595.55,3595.91
Low,Authorize,5,3265.1,3494.0,573.7894406681097,1741.0,3591.0,3510.9,3550.95,3582.9900000000002
Low,Deregistration,1,3297.2,3496.0,636.0965684897573,1487.0,3519.0,3504.6,3511.8,3517.56
Low,Deregistration,2,3303.2,3492.5,640.7916631445478,1482.0,3598.0,3522.4,3560.2,3590.44
Low,Deregistration,3,3301.7,3492.0,639.5540199580051,1484.0,3598.0,3508.0,3553.0,3589.0
Low,Deregistration,4,3296.2,3492.5,634.1028307774694,1496.0,3594.0,3509.4,3551.7,3585.54
Low,Deregistration,5,3314.1,3496.0,608.4702950843205,1585.0,3600.0,3510.9,3555.45,3591.09
Low,Grant,1,3295.4,3490.5,631.2393805487388,1499.0,3512.0,3506.6,3509.3,3511.46
Low,Grant,2,3306.3,3490.5,638.0179464560538,1493.0,3598.0,3525.1,3561.5499999999997,3590.71
Low,Grant,3,3314.4,3494.5,643.4710042677395,1487.0,3596.0,3596.0,3596.0,3596.0
Low,Grant,4,3301.9,3491.0,637.8692743118381,1489.0,3597.0,3512.4,3554.7,3588.54
Low,Grant,5,3292.6,3493.0,635.1379902561857,1485.0,3500.0,3498.2,3499.1,3499.82
Low,Registration,1,3309.7,3500.5,640.524620048979,1489.0,3601.0,3521.8,3561.4,3593.08
Low,Registration,2,3294.5,3493.5,633.6969570175743,1491.0,3502.0,3500.2,3501.1,3501.82
Low,Registration,3,3295.0,3495.0,634.9239674515717,1488.0,3503.0,3498.5,3500.75,3502.55
Low,Registration,4,3295.5,3495.0,636.0940269418595,1490.0,3595.0,3511.3,3553.15,3586.63
Low,Registration,5,3293.8,3494.0,635.2042191295646,1486.0,3501.0,3498.3,3499.65,3500.73
Low,Relinquishment,1,3498.0,3490.0,36.38681079732051,3450.0,3593.0,3512.9,3552.95,3584.9900000000002
Low,Relinquishment,2,3495.5,3489.0,35.41264683069532,3445.0,3587.0,3506.9,3546.95,3578.9900000000002
Low,Relinquishment,3,3497.5,3491.5,19.027757502016772,3487.0,3551.0,3503.3,3527.15,3546.23
Low,Relinquishment,4,3494.8,3490.5,17.261389154861075,3485.0,3543.0,3498.9,3520.95,3538.59
Low,Relinquishment,5,3496.9,3491.5,36.12462994812388,3442.0,3589.0,3507.1,3548.0499999999997,3580.81
Low,Revoke,1,3292.1,3492.0,635.6729505020644,1483.0,3504.0,3497.7,3500.85,3503.37
Low,Revoke,2,3295.0,3490.5,638.7626928506218,1482.0,3593.0,3529.1,3561.0499999999997,3586.61
Low,Revoke,3,3295.2,3494.5,636.408464221944,1484.0,3506.0,3503.3,3504.65,3505.73
Low,Revoke,4,3291.5,3491.5,635.4501903724984,1483.0,3497.0,3497.0,3497.0,3497.0
Low,Revoke,5,3282.8,3490.5,633.1522197176073,1483.0,3504.0,3499.5,3501.75,3503.55
Medium,Authorize,1,21803.77,14995.0,12483.717207234471,199.0,44003.0,40032.8,42004.55,42077.45000000001
Medium,Authorize,2,18038.42,14039.0,9873.783028635258,201.0,42009.0,34132.20000000001,38113.799999999996,40023.06000000001
Medium,Authorize,3,19293.13,15964.0,10241.204092574153,2153.0,43994.0,35995.0,40090.84999999999,43994.0
Medium,Authorize,4,18664.22,14002.0,9947.60802128082,195.0,46029.0,37946.5,38076.1,42097.71000000002
Medium,Authorize,5,16864.2,13984.5,9125.02237550875,206.0,43917.0,35422.40000000001,37935.15,42053.82000000001
Medium,Deregistration,1,15061.93,13987.0,6643.6537733160785,3985.0,39905.0,23990.7,30088.849999999995,36061.82000000002
Medium,Deregistration,2,18844.46,14071.5,9405.107210704644,1994.0,40034.0,35949.4,38175.549999999996,39994.4
Medium,Deregistration,3,17322.7,14005.0,8967.056225062623,3994.0,44003.0,32213.700000000015,38176.74999999999,42106.16000000001
Medium,Deregistration,4,16658.68,13990.0,8429.02125461237,4002.0,40083.0,31944.1,34169.89999999999,39998.85
Medium,Deregistration,5,17480.0,13988.0,9988.9019264867,5985.0,46051.0,34428.20000000003,40042.85,42061.30000000002
Medium,Grant,1,15112.35,13943.0,7316.175965287503,1999.0,38085.0,28155.900000000016,30209.399999999987,37994.91
Medium,Grant,2,16257.66,13981.5,9774.476705846268,1996.0,43987.0,33984.2,40030.5,43955.32
Medium,Grant,3,18696.33,14042.0,10155.44824772507,3995.0,41997.0,35992.3,39995.3,41940.57
