scenario,request_type,run,count,mean,p50,p90,p99,std
sas_full_flow_high,Authorize,1,600,58883.48,63950.0,64068.1,66057.0,14468.055508023144
sas_full_flow_high,Authorize,2,600,58048.09333333333,63945.0,65993.0,66092.02,16066.829298198552
sas_full_flow_high,Authorize,3,600,57838.85,62090.0,65953.0,66095.03,16066.078018576853
sas_full_flow_high,Authorize,4,600,58930.3,63961.5,65986.0,66215.03,14933.76525957357
sas_full_flow_high,Authorize,5,600,58313.111666666664,62039.0,65971.1,66093.04,15065.766979712955
sas_full_flow_high,Deregistration,1,600,58111.708333333336,63967.5,65944.3,66064.06,16191.849862813615
sas_full_flow_high,Deregistration,2,600,58884.306666666664,63964.0,65996.0,66080.0,14889.632238001286
sas_full_flow_high,Deregistration,3,600,58205.04833333333,62037.0,65938.0,66026.07,15232.444482666806
sas_full_flow_high,Deregistration,4,600,57594.66,63930.5,65978.1,66046.01,16721.683234493004
sas_full_flow_high,Deregistration,5,600,57524.07666666667,62091.0,65997.1,66082.05,16723.121506235304
sas_full_flow_high,Grant,1,600,58452.35166666667,63963.0,65953.3,66059.06,15614.741533989152
sas_full_flow_high,Grant,2,600,57717.92,63924.5,65964.0,66072.01,16238.573939427188
sas_full_flow_high,Grant,3,600,58491.683333333334,62058.5,65984.1,66034.12,15105.049402947945
sas_full_flow_high,Grant,4,600,57821.253333333334,63931.0,65957.7,66018.11,16317.015225082736
sas_full_flow_high,Grant,5,600,57446.65,62047.5,65986.2,66052.0,16600.993948484822
sas_full_flow_high,Registration,1,600,57403.11666666667,63973.0,65990.4,66064.01,17349.143243838127
sas_full_flow_high,Registration,2,600,57186.63166666667,63944.5,66002.0,66067.04,17263.51021995589
sas_full_flow_high,Registration,3,600,57899.09166666667,62058.0,65988.0,66043.03,16067.59846546281
sas_full_flow_high,Registration,4,600,57707.41166666667,63903.5,65955.5,66026.09,16317.98561157483
sas_full_flow_high,Registration,5,600,57526.66333333333,62047.5,65988.1,66061.03,16456.725829835843
sas_full_flow_high,Relinquishment,1,600,57822.59,63940.5,64061.0,66036.0,16028.144680584097
sas_full_flow_high,Relinquishment,2,600,58201.72833333333,63936.0,65985.2,66078.03,15809.922360539102
sas_full_flow_high,Relinquishment,3,600,57598.94666666666,62076.5,65956.1,66016.06,16377.68147310682
sas_full_flow_high,Relinquishment,4,600,58714.13166666667,63955.0,65949.4,66075.04,14864.331122652999
sas_full_flow_high,Relinquishment,5,600,58799.50666666667,63957.5,65993.0,66092.01,14856.176456999005
sas_full_flow_high,Revoke,1,600,57905.61833333333,63916.0,64087.0,66053.01,15838.249636409933
sas_full_flow_high,Revoke,2,600,57218.823333333334,63938.5,65970.1,66085.01,17025.076545430038
sas_full_flow_high,Revoke,3,600,57862.13,62999.5,65984.1,66056.02,16079.787443977784
sas_full_flow_high,Revoke,4,600,57979.83666666667,63922.0,65953.1,66047.08,15953.43618681987
sas_full_flow_high,Revoke,5,600,57943.323333333334,62106.5,65989.2,66082.02,15927.619878703039
sas_full_flow_low,Authorize,1,10,3233.7,3487.0,3498.1,3498.91,604.3637701473067
sas_full_flow_low,Authorize,2,10,3264.3,3491.5,3502.7,3581.27,570.5116709294093
sas_full_flow_low,Authorize,3,10,3234.3,3489.5,3502.1,3502.91,606.9299886404618
sas_full_flow_low,Authorize,4,10,3254.3,3488.0,3595.1,3595.91,614.318240002688
sas_full_flow_low,Authorize,5,10,3265.1,3494.0,3510.9,3582.9900000000002,573.7894406681096
sas_full_flow_low,Deregistration,1,10,3297.2,3496.0,3504.6,3517.56,636.0965684897574
sas_full_flow_low,Deregistration,2,10,3303.2,3492.5,3522.4,3590.44,640.7916631445478
sas_full_flow_low,Deregistration,3,10,3301.7,3492.0,3508.0,3589.0,639.554019958005
sas_full_flow_low,Deregistration,4,10,3296.2,3492.5,3509.4,3585.54,634.1028307774694
sas_full_flow_low,Deregistration,5,10,3314.1,3496.0,3510.9,3591.09,608.4702950843205
sas_full_flow_low,Grant,1,10,3295.4,3490.5,3506.6,3511.46,631.2393805487391
sas_full_flow_low,Grant,2,10,3306.3,3490.5,3525.1,3590.71,638.0179464560539
sas_full_flow_low,Grant,3,10,3314.4,3494.5,3596.0,3596.0,643.4710042677395
sas_full_flow_low,Grant,4,10,3301.9,3491.0,3512.4,3588.54,637.8692743118381
sas_full_flow_low,Grant,5,10,3292.6,3493.0,3498.2,3499.82,635.1379902561856
sas_full_flow_low,Registration,1,10,3309.7,3500.5,3521.8,3593.08,640.524620048979
sas_full_flow_low,Registration,2,10,3294.5,3493.5,3500.2,3501.82,633.6969570175743
sas_full_flow_low,Registration,3,10,3295.0,3495.0,3498.5,3502.55,634.9239674515717
sas_full_flow_low,Registration,4,10,3295.5,3495.0,3511.3,3586.63,636.0940269418595
sas_full_flow_low,Registration,5,10,3293.8,3494.0,3498.3,3500.73,635.2042191295646
sas_full_flow_low,Relinquishment,1,10,3498.0,3490.0,3512.9,3584.9900000000002,36.386810797320535
sas_full_flow_low,Relinquishment,2,10,3495.5,3489.0,3506.9,3578.9900000000002,35.412646830695316
sas_full_flow_low,Relinquishment,3,10,3497.5,3491.5,3503.3,3546.23,19.02775750201689
sas_full_flow_low,Relinquishment,4,10,3494.8,3490.5,3498.9,3538.59,17.261389154861153
sas_full_flow_low,Relinquishment,5,10,3496.9,3491.5,3507.1,3580.81,36.1246299481239
sas_full_flow_low,Revoke,1,10,3292.1,3492.0,3497.7,3503.37,635.6729505020645
sas_full_flow_low,Revoke,2,10,3295.0,3490.5,3529.1,3586.61,638.7626928506218
sas_full_flow_low,Revoke,3,10,3295.2,3494.5,3503.3,3505.73,636.4084642219437
sas_full_flow_low,Revoke,4,10,3291.5,3491.5,3497.0,3497.0,635.4501903724984
sas_full_flow_low,Revoke,5,10,3282.8,3490.5,3499.5,3503.55,633.1522197176074
sas_full_flow_medium,Authorize,1,100,21803.77,14995.0,40032.8,42077.45000000001,12483.717207234471
sas_full_flow_medium,Authorize,2,100,18038.42,14039.0,34132.20000000001,40023.06000000001,9873.783028635256
sas_full_flow_medium,Authorize,3,100,19293.13,15964.0,35995.0,43994.0,10241.204092574155
sas_full_flow_medium,Authorize,4,100,18664.22,14002.0,37946.5,42097.71000000002,9947.60802128082
sas_full_flow_medium,Authorize,5,100,16864.2,13984.5,35422.40000000001,42053.82000000001,9125.02237550875
sas_full_flow_medium,Deregistration,1,100,15061.93,13987.0,23990.7,36061.82000000002,6643.6537733160785
sas_full_flow_medium,Deregistration,2,100,18844.46,14071.5,35949.4,39994.4,9405.107210704646
sas_full_flow_medium,Deregistration,3,100,17322.7,14005.0,32213.700000000015,42106.16000000001,8967.056225062623
sas_full_flow_medium,Deregistration,4,100,16658.68,13990.0,31944.1,39998.85,8429.021254612368
sas_full_flow_medium,Deregistration,5,100,17480.0,13988.0,34428.20000000003,42061.30000000002,9988.901926486702
sas_full_flow_medium,Grant,1,100,15112.35,13943.0,28155.900000000016,37994.91,7316.175965287501
sas_full_flow_medium,Grant,2,100,16257.66,13981.5,33984.2,43955.32,9774.476705846268
sas_full_flow_medium,Grant,3,100,18696.33,14042.0,35992.3,41940.57,10155.448247725075
sas_full_flow_medium,Grant,4,100,18474.6,14029.5,37977.9,42007.40000000001,10254.97406780305
sas_full_flow_medium,Grant,5,100,16778.74,13983.5,34184.000000000015,40004.54,9445.793346877708
sas_full_flow_medium,Registration,1,100,16400.32,14003.5,28017.0,36013.19000000001,7457.698446490571
sas_full_flow_medium,Registration,2,100,19060.9,14021.5,35954.200000000004,41975.19,10038.868626644653
sas_full_flow_medium,Registration,3,100,15678.2,13994.0,29971.1,41967.54000000001,8355.446617734937
sas_full_flow_medium,Registration,4,100,16250.51,13989.5,28164.600000000017,39970.48,8171.705643322642
sas_full_flow_medium,Registration,5,100,19619.85,14080.0,36207.900000000016,42062.15,10437.68951210037
sas_full_flow_medium,Relinquishment,1,100,22102.84,15998.0,40275.900000000016,46002.11,12497.58778480023
sas_full_flow_medium,Relinquishment,2,100,18901.47,14014.0,36183.000000000015,44002.83,10553.979316984347
sas_full_flow_medium,Relinquishment,3,100,17459.04,13995.0,35981.8,44023.92000000001,10422.070778473691
sas_full_flow_medium,Relinquishment,4,100,19144.93,14074.5,36238.000000000015,43960.12,10141.988340562273
sas_full_flow_medium,Relinquishment,5,100,17458.11,14047.0,31974.5,38076.45000000001,8447.772327117258
sas_full_flow_medium,Revoke,1,100,16294.9,12064.5,32002.8,38040.710000000014,8851.590046626388
sas_full_flow_medium,Revoke,2,100,17554.93,13994.5,31996.6,40047.54000000001,9230.41667997494
sas_full_flow_medium,Revoke,3,100,18335.8,14085.5,35997.0,43899.17,9726.95158367261
sas_full_flow_medium,Revoke,4,100,18542.32,14018.5,36160.60000000002,42055.29000000001,10754.493490629857
sas_full_flow_medium,Revoke,5,100,18935.89,14012.0,36202.000000000015,43997.52000000001,10360.432094743823
