scenario,request_type,run,p95,p99,p999,max,count
Low,Authorize,1,3498.55,3498.91,3498.991,3499.0,10
Low,Authorize,2,3546.35,3581.27,3589.127,3590.0,10
Low,Authorize,3,3502.55,3502.91,3502.991,3503.0,10
Low,Authorize,4,3595.55,3595.91,3595.991,3596.0,10
Low,Authorize,5,3550.95,3582.9900000000002,3590.199,3591.0,10
Low,Deregistration,1,3511.8,3517.56,3518.856,3519.0,10
Low,Deregistration,2,3560.2,3590.44,3597.244,3598.0,10
Low,Deregistration,3,3553.0,3589.0,3597.1000000000004,3598.0,10
Low,Deregistration,4,3551.7,3585.54,3593.154,3594.0,10
Low,Deregistration,5,3555.45,3591.09,3599.109,3600.0,10
Low,Grant,1,3509.3,3511.46,3511.946,3512.0,10
Low,Grant,2,3561.5499999999997,3590.71,3597.271,3598.0,10
Low,Grant,3,3596.0,3596.0,3596.0,3596.0,10
Low,Grant,4,3554.7,3588.54,3596.154,3597.0,10
Low,Grant,5,3499.1,3499.82,3499.982,3500.0,10
Low,Registration,1,3561.4,3593.08,3600.208,3601.0,10
Low,Registration,2,3501.1,3501.82,3501.982,3502.0,10
Low,Registration,3,3500.75,3502.55,3502.955,3503.0,10
Low,Registration,4,3553.15,3586.63,3594.163,3595.0,10
Low,Registration,5,3499.65,3500.73,3500.973,3501.0,10
Low,Relinquishment,1,3552.95,3584.9900000000002,3592.199,3593.0,10
Low,Relinquishment,2,3546.95,3578.9900000000002,3586.199,3587.0,10
Low,Relinquishment,3,3527.15,3546.23,3550.523,3551.0,10
Low,Relinquishment,4,3520.95,3538.59,3542.559,3543.0,10
Low,Relinquishment,5,3548.0499999999997,3580.81,3588.181,3589.0,10
Low,Revoke,1,3500.85,3503.37,3503.937,3504.0,10
Low,Revoke,2,3561.0499999999997,3586.61,3592.361,3593.0,10
Low,Revoke,3,3504.65,3505.73,3505.973,3506.0,10
Low,Revoke,4,3497.0,3497.0,3497.0,3497.0,10
Low,Revoke,5,3501.75,3503.55,3503.955,3504.0,10
Medium,Authorize,1,42004.55,42077.45000000001,43810.44500000002,44003.0,100
Medium,Authorize,2,38113.799999999996,40023.06000000001,41810.406000000025,42009.0,100
Medium,Authorize,3,40090.84999999999,43994.0,43994.0,43994.0,100
Medium,Authorize,4,38076.1,42097.71000000002,45635.87100000004,46029.0,100
Medium,Authorize,5,37935.15,42053.82000000001,43730.68200000002,43917.0,100
