scenario,request_type,mean,std,min,max,count
Medium,Deregistration,1.2410063899258095,0.07182114806854756,1.1363636363636365,1.3333333333333333,5
Medium,Revoke,1.2437303007070448,0.06878177409713325,1.1627906976744187,1.3333333333333333,5
Medium,Grant,1.2255156464242791,0.0687627122528569,1.1627906976744187,1.3157894736842106,5
Medium,Registration,1.2096846696238177,0.0546936616128324,1.1494252873563218,1.2820512820512822,5
Medium,Relinquishment,1.2356849502906444,0.041313654741572704,1.1764705882352942,1.2820512820512822,5
Medium,Authorize,1.232165127747457,0.031606036315984416,1.2048192771084338,1.2820512820512822,5
High,Deregistration,1.0125240158675939,0.0068340999837206385,1.0067114093959733,1.023890784982935,5
High,Revoke,1.0155853669675476,0.004102066832559137,1.0101010101010102,1.0204081632653061,5
High,Authorize,1.0162690125370175,0.003350463531281964,1.0118043844856661,1.0186757215619695,5
High,Registration,1.0073950092455004,0.003074115955700843,1.0033444816053512,1.0118043844856661,5
High,Grant,1.0087485879423599,0.0027843424690476206,1.0050251256281406,1.0118043844856661,5
High,Relinquishment,1.016262030658432,0.0015413511585246522,1.015228426395939,1.0186757215619695,5
Stress,Relinquishment,1.0010680911446985,0.0005978284805770218,1.0006671114076051,1.002004008016032,5
Stress,Revoke,1.000266844563042,0.00036539196631434794,1.0,1.0006671114076051,5
Stress,Authorize,1.000266844563042,0.00036539196631431753,1.0,1.0006671114076051,5
Stress,Grant,1.000133422281521,0.00029834129119413357,1.0,1.0006671114076051,5
Low,Relinquishment,1.0,0.0,1.0,1.0,5
Low,Revoke,1.0,0.0,1.0,1.0,5
Low,Grant,1.0,0.0,1.0,1.0,5
Low,Registration,1.0,0.0,1.0,1.0,5
Low,Deregistration,1.0,0.0,1.0,1.0,5
Low,Authorize,1.0,0.0,1.0,1.0,5
Stress,Deregistration,1.0006671114076051,0.0,1.0006671114076051,1.0006671114076051,5
Stress,Registration,1.0006671114076051,0.0,1.0006671114076051,1.0006671114076051,5
