scenario,request_type,run,mean,median,std,min,max,p90,p95,p99
Low,Authorize,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Authorize,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Authorize,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Authorize,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Authorize,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Deregistration,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Deregistration,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Deregistration,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Deregistration,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Deregistration,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Grant,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Grant,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Grant,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Grant,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Grant,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Registration,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Registration,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Registration,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Registration,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Registration,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Relinquishment,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Relinquishment,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Relinquishment,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Relinquishment,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Relinquishment,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Revoke,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Revoke,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Revoke,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Revoke,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Low,Revoke,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Medium,Authorize,1,1.2345679012345678,1.0,0.42636853009666426,1.0,2.0,2.0,2.0,2.0
Medium,Authorize,2,1.2048192771084338,1.0,0.46220669393307606,1.0,3.0,2.0,2.0,3.0
Medium,Authorize,3,1.2820512820512822,1.0,0.5070268800332554,1.0,3.0,2.0,2.0,3.0
Medium,Authorize,4,1.2345679012345678,1.0,0.5067446333773947,1.0,3.0,2.0,2.0,3.0
Medium,Authorize,5,1.2048192771084338,1.0,0.43502273965173954,1.0,3.0,2.0,2.0,2.1799999999999926
Medium,Deregistration,1,1.2195121951219512,1.0,0.4164633650362828,1.0,2.0,2.0,2.0,2.0
Medium,Deregistration,2,1.1363636363636365,1.0,0.3451409234693729,1.0,2.0,2.0,2.0,2.0
Medium,Deregistration,3,1.25,1.0,0.49041444627368397,1.0,3.0,2.0,2.0,3.0
Medium,Deregistration,4,1.3333333333333333,1.0,0.5534494613840601,1.0,3.0,2.0,2.0,3.0
Medium,Deregistration,5,1.2658227848101267,1.0,0.5240097072768314,1.0,3.0,2.0,2.0,3.0
Medium,Grant,1,1.1627906976744187,1.0,0.43006060082625214,1.0,3.0,2.0,2.0,3.0
Medium,Grant,2,1.3157894736842106,1.0,0.570626002814207,1.0,3.0,2.0,2.25,3.0
Medium,Grant,3,1.1904761904761905,1.0,0.42443982859879603,1.0,3.0,2.0,2.0,2.1700000000000017
Medium,Grant,4,1.2820512820512822,1.0,0.5320247015414633,1.0,3.0,2.0,2.0,3.0
